,Bx_coil_r1 (mT),By_coil_r1 (mT),Bz_coil_r1 (mT),B_coil_r1 (mT),Bx_coil_std_r1 (mT),By_coil_std_r1 (mT),Bz_coil_std_r1 (mT),B_coil_std_r1 (mT),Bx_measured_r1 (mT),By_measured_r1 (mT),Bz_measured_r1 (mT),B_measured_r1 (mT),Bx_measured_std_r1 (mT),By_measured_std_r1 (mT),Bz_measured_std_r1 (mT),B_measured_std_r1 (mT),Bx_coil_r2 (mT),By_coil_r2 (mT),Bz_coil_r2 (mT),B_coil_r2 (mT),Bx_coil_std_r2 (mT),By_coil_std_r2 (mT),Bz_coil_std_r2 (mT),B_coil_std_r2 (mT),Bx_measured_r2 (mT),By_measured_r2 (mT),Bz_measured_r2 (mT),B_measured_r2 (mT),Bx_measured_std_r2 (mT),By_measured_std_r2 (mT),Bz_measured_std_r2 (mT),B_measured_std_r2 (mT),Bx_coil_r3 (mT),By_coil_r3 (mT),Bz_coil_r3 (mT),B_coil_r3 (mT),Bx_coil_std_r3 (mT),By_coil_std_r3 (mT),Bz_coil_std_r3 (mT),B_coil_std_r3 (mT),Bx_measured_r3 (mT),By_measured_r3 (mT),Bz_measured_r3 (mT),B_measured_r3 (mT),Bx_measured_std_r3 (mT),By_measured_std_r3 (mT),Bz_measured_std_r3 (mT),B_measured_std_r3 (mT),Bx_coil_r4 (mT),By_coil_r4 (mT),Bz_coil_r4 (mT),B_coil_r4 (mT),Bx_coil_std_r4 (mT),By_coil_std_r4 (mT),Bz_coil_std_r4 (mT),B_coil_std_r4 (mT),Bx_measured_r4 (mT),By_measured_r4 (mT),Bz_measured_r4 (mT),B_measured_r4 (mT),Bx_measured_std_r4 (mT),By_measured_std_r4 (mT),Bz_measured_std_r4 (mT),B_measured_std_r4 (mT),Bx_coil_mean (mT),By_coil_mean (mT),Bz_coil_mean (mT),B_coil_mean (mT),Bx_coil_std_mean (mT),By_coil_std_mean (mT),Bz_coil_std_mean (mT),B_coil_std_mean (mT),Bx_measured_mean (mT),By_measured_mean (mT),Bz_measured_mean (mT),B_measured_mean (mT),Bx_measured_std_mean (mT),By_measured_std_mean (mT),Bz_measured_std_mean (mT),B_measured_std_mean (mT),Bx_measured_std_0 (mT),By_measured_std_0 (mT),Bz_measured_std_0 (mT),B_measured_std_0 (mT),diff_Bx (mT),diff_By (mT),diff_Bz (mT),diff_B (mT)
0,-0.003527443175143303,0.349849199235433,3.1148357372363934e-05,0.3498669833397369,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.00146562,0.34177808,0.005860079999999999,0.34188220999999996,0.0012873642104703703,0.0014645921556528973,0.0014865322520550975,0.0014688066243231427,-0.003527443175143303,0.3499667126510532,3.1148357372363934e-05,0.34998449078403304,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.00201502,0.33875778,0.0049292599999999995,0.33886362,0.0018331990139765092,0.002776260488410824,0.0012488829670460632,0.002794488221394235,-0.003527443175143303,0.3500028706250903,3.1148357372363934e-05,0.3500206469215462,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.00251714,0.33970787,0.0031066199999999996,0.33978725,0.0016192265617468934,0.0025154697612992907,0.001293504209399155,0.002531437216385189,-0.003527443175143303,0.3499667126510532,3.1148357372363934e-05,0.34998449078403304,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.00107063,0.34152067,0.007035179999999999,0.34163032000000004,0.0013521096966551524,0.0024423293220953365,0.0009175154202518889,0.0024371375517557013,-0.003527443175143303,0.3499463737906574,3.1148357372363934e-05,0.3499641529573373,0.0062722623730941006,0.016789936059135625,0.01829185915022268,0.025609282288232522,0.0017671025,0.3404411,0.005232784999999999,0.34054084999999995,0.003077014872453495,0.004705870070400253,0.0025068854157920964,0.004723808965849956,0.0006928,0.0007752,0.0010947,0.0008399999999999999,-0.005294545675143303,0.009505273790657399,-0.005201636642627636,0.009423302957337353
1,-0.003527443175143303,0.3233273252792999,0.13393305819043003,0.3499872372013888,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.003291970000000001,0.3146897,0.14549782000000003,0.3468778599999999,0.0028109196195492086,0.0019854197086650364,0.0022327688302892254,0.00203470343551312,-0.003527443175143303,0.3233273252792999,0.13393305819043003,0.3499872372013888,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.00088117,0.31674086,0.14937575,0.35034389,0.0029408388167342855,0.0018317908427547078,0.0014526653369467683,0.0016616143429709167,-0.003527443175143303,0.3233092462922814,0.13393305819043003,0.34997053543073886,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.00501476,0.32096442000000003,0.1467556,0.35303739,0.002269793365054283,0.001671674169261993,0.0007987753437467741,0.0015769141711618685,-0.003527443175143303,0.3233273252792999,0.13393305819043003,0.3499872372013888,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.0046476899999999995,0.31507525000000003,0.14905165,0.34869973,0.002419364906905667,0.001711979106975964,0.0020139866651467404,0.001957547955595356,-0.003527443175143303,0.3233228055325453,0.13393305819043003,0.34998306175872634,0.0062722623730941006,0.016789936059135625,0.01829185915022268,0.025609282288232522,0.0034588975,0.3168675575,0.147670205,0.3497397175,0.005249294288415243,0.003608700057091965,0.0034336099906431493,0.003635881268265267,0.0006928,0.0007752,0.0010947,0.0008399999999999999,-0.006986340675143303,0.006455248032545269,-0.01373714680956999,0.00024334425872631903
2,-0.003527443175143303,0.24749501423021977,0.2474993976049158,0.3500316796219547,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.006340319999999999,0.24543954999999995,0.27391667,0.36801282999999996,0.0029194292754958495,0.0011036896483311485,0.0026984553176894895,0.0018526826463296706,-0.003527443175143303,0.2474769352432013,0.2474993976049158,0.35001889684346715,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.0010577300000000002,0.24501836,0.27640113000000005,0.36952104999999996,0.002836893570088788,0.0014499696029151008,0.0024549856420512457,0.0018999923245605194,-0.003527443175143303,0.24749501423021977,0.2474993976049158,0.3500316796219547,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.00382628,0.24159165000000002,0.27573061,0.36674566,0.0026658324176220163,0.0017971431688624296,0.001930791835632326,0.0019071495728325953,-0.003527443175143303,0.24745885625618286,0.2474993976049158,0.3500061145319725,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.0028800499999999995,0.24722233999999998,0.27381313,0.36909079,0.0029885288135078547,0.0017881114625461411,0.002360330321376887,0.0018883383497697419,-0.003527443175143303,0.24748145498995594,0.2474993976049158,0.35002209265483725,0.0062722623730941006,0.016789936059135625,0.01829185915022268,0.025609282288232522,0.003526095,0.24481797499999997,0.27496538499999995,0.36834258249999996,0.0057104290005781915,0.003122116087061611,0.004754758873255301,0.003774313849929105,0.0006928,0.0007752,0.0010947,0.0008399999999999999,-0.007053538175143303,0.002663479989955997,-0.027465987395084168,-0.018320489845162723
3,-0.003527443175143303,0.1339318572735393,0.32331457552441184,0.3499749990993988,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.0005446499999999999,0.13250274,0.3572669,0.3812288099999999,0.0035853172193839574,0.0016227649351372828,0.0022692941505626308,0.00229140073702867,-0.003527443175143303,0.13395897575406704,0.32331457552441184,0.34998537796165596,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.00145517,0.13330305,0.35978889,0.38387424,0.003482341910268305,0.001962169649095951,0.0021673354853598446,0.002273291521228386,-0.003527443175143303,0.1339318572735393,0.32331457552441184,0.3499749990993988,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.0018017899999999997,0.13316639999999996,0.35996786999999997,0.38397165,0.0031942324498817837,0.0016213753536906714,0.00145674463956453,0.001237044655553443,-0.003527443175143303,0.13394089676704854,0.32331457552441184,0.3499784585208719,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.00043134999999999994,0.13377285,0.35902336,0.38330057,0.0033598683106881833,0.001146084553624014,0.0025397071335621904,0.002243046744797007,-0.003527443175143303,0.13394089676704854,0.32331457552441184,0.34997845867033134,0.0062722623730941006,0.016789936059135625,0.01829185915022268,0.025609282288232522,0.0010582399999999998,0.13318626,0.35901175499999993,0.3830938175,0.006817113813973379,0.00322890749451816,0.004291766106982583,0.004120668617751516,0.0006928,0.0007752,0.0010947,0.0008399999999999999,-0.004585683175143303,0.0007546367670485443,-0.03569717947558813,-0.03311535882966865
4,-0.003527443175143303,-6.318052985825051e-06,0.35001152950981895,0.3500293040376399,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.00042619,-0.0017344600000000002,0.39148678,0.39163546000000005,0.003151323941226044,0.0014876712490182618,0.0024803172304185463,0.0023903119372537525,-0.003527443175143303,-1.5357546495071983e-05,0.35001152950981895,0.35002930431752566,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.00126233,-0.0036809999999999994,0.3882601,0.38841172999999996,0.0030021917370869787,0.0013718945817939347,0.002712971387939389,0.0026181332565207594,-0.003527443175143303,-3.343653351356724e-05,0.35001152950981895,0.3500293055776309,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,-0.0008253700000000001,-4.535000000000011e-05,0.39211488,0.39224749999999997,0.002406040296376785,0.002359109025847117,0.0011691843253406266,0.0011125897880371002,-0.003527443175143303,-6.318052985825051e-06,0.35001152950981895,0.3500293040376399,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.0015499199999999996,0.0013564100000000004,0.39471432000000006,0.39485143999999994,0.002605677430910349,0.002136091335097303,0.0015259166013907837,0.0014568375912838638,-0.003527443175143303,-1.535754649507233e-05,0.35001152950981895,0.35002930449260905,0.0062722623730941006,0.016789936059135625,0.01829185915022268,0.025609282288232522,0.0006032674999999998,-0.0010260999999999998,0.39164402,0.3917865325,0.005614497536781205,0.0037714111518663967,0.00414820452440705,0.003991045566026526,0.0006928,0.0007752,0.0010947,0.0008399999999999999,-0.004130710675143303,0.0010107424535049276,-0.04163249049018103,-0.04175722800739097
5,-0.003527443175143303,-0.13390833540547398,0.32331457552441184,0.3499659981954667,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.0024796600000000003,-0.12890319,0.36338514,0.38566545999999996,0.0020040445341691715,0.001847982394183209,0.0015338035589996537,0.0015332452395853346,-0.003527443175143303,-0.1339535328730202,0.32331457552441184,0.34998329470282974,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,-0.00142489,-0.13801148,0.36111561999999997,0.38664443000000004,0.001511653736104197,0.0016760966040708304,0.0015091114129992013,0.00170381267332676,-0.003527443175143303,-0.13390833540547398,0.32331457552441184,0.3499659981954667,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.0007263199999999997,-0.1349011,0.3666458600000001,0.39083684999999996,0.002185986671952863,0.0030592410315850136,0.0012931538531993961,0.0013691105077750301,-0.003527443175143303,-0.13396257236652948,0.32331457552441184,0.34998675460214507,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.00209863,-0.13539892999999997,0.36290798,0.38742235,0.0021581167684941323,0.0014147861265969182,0.00093748905804578,0.0011167556649360054,-0.003527443175143303,-0.1339331940126244,0.32331457552441184,0.34997551142397704,0.0062722623730941006,0.016789936059135625,0.01829185915022268,0.025609282288232522,0.0009699300000000001,-0.134303675,0.36351364999999997,0.38764227250000005,0.003967026245088658,0.0041934370424191805,0.0026797580555797305,0.0028940327206454716,0.0006928,0.0007752,0.0010947,0.0008399999999999999,-0.004497373175143303,0.0003704809873755988,-0.04019907447558815,-0.03766676107602298
6,-0.003527443175143303,-0.24756188729724699,0.2474993976049158,0.3500789663951904,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,0.00015907,-0.24800320999999997,0.2844043,0.37743732,0.0014839815081245304,0.0028541087962775493,0.0013271074723288667,0.0021472009981886235,-0.003527443175143303,-0.24752572932321,0.2474993976049158,0.35005339785115225,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,-0.0007682799999999999,-0.24348901999999994,0.28757300999999996,0.37686310000000006,0.0011021428213358838,0.002777548488257628,0.001332355466620427,0.0025003266558591922,-0.003527443175143303,-0.2475076503361915,0.2474993976049158,0.3500406142793897,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,-0.00228386,-0.25121661000000006,0.28832577,0.38246239,0.001264049775408829,0.0019533155085904603,0.0007307082625097365,0.001591070310021947,-0.003527443175143303,-0.2474986108426822,0.2474993976049158,0.35003422266859496,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,-0.00247007,-0.24829484000000002,0.28685309999999997,0.37946271,0.0014696992931322152,0.0026125946499898412,0.001262067708608026,0.002220747063712772,-0.003527443175143303,-0.24752346944983267,0.2474993976049158,0.35005180029858185,0.0062722623730941006,0.016789936059135625,0.01829185915022268,0.025609282288232522,-0.001340785,-0.24775091999999996,0.286789045,0.37905638,0.002678573829862119,0.0051479903755608045,0.0023797341865333535,0.004280809241842536,0.0006928,0.0007752,0.0010947,0.0008399999999999999,-0.002186658175143303,0.0002274505501672852,-0.039289647395084205,-0.029004579701418187
7,-0.003527443175143303,-0.32337611935930854,0.13393305819043003,0.3500323149417504,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,-0.0018268600000000002,-0.32092588999999994,0.16769474,0.3621360699999999,0.0009263426154266874,0.001700519943458471,0.0020522685555366387,0.00229505080142515,-0.003527443175143303,-0.32335804037229005,0.13393305819043003,0.3500156128017757,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,-0.0017234099999999999,-0.32266607,0.17106035,0.36524354000000003,0.0009171817050617615,0.002665144146239247,0.001997634356502153,0.0030291404148958772,-0.003527443175143303,-0.32333996138527155,0.13393305819043003,0.3499989107986251,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,-0.0053056100000000005,-0.32199427999999997,0.17314224000000003,0.3656488299999999,0.0005730819825877155,0.00216340954980276,0.0011344776098079483,0.0022182486346490156,-0.003527443175143303,-0.32333092189176227,0.13393305819043003,0.34999055984836486,-0.0031361311865470503,-0.008394968029567813,-0.00914592957511134,0.012804641144116261,-0.0018805700000000002,-0.32477373,0.17024145999999998,0.36672115999999993,0.0007100262960779848,0.002460973888797777,0.0017986688511970935,0.002737372180240666,-0.003527443175143303,-0.3233512607521581,0.13393305819043003,0.35000934959762897,0.0062722623730941006,0.016789936059135625,0.01829185915022268,0.025609282288232522,-0.0026841125,-0.32258999250000003,0.1705346975,0.36493739999999997,0.0015911923897330722,0.004553185122511006,0.003567155495593715,0.005182353065216182,0.0006928,0.0007752,0.0010947,0.0008399999999999999,-0.0008433306751433028,-0.0007612682521580538,-0.036601639309569986,-0.014928050402370996
